﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Östersund-Frösön Flygplats;134110;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1944-02-01 00:00:00;1970-01-18 23:59:59;360.0;63.1974;14.4863
1970-02-01 00:00:00;2026-05-01 14:20:59;375.8;63.1981;14.4869

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1971-11-01 00:00:01;1971-12-01 00:00:00;1971-11;-3.4;Y
1971-12-01 00:00:01;1972-01-01 00:00:00;1971-12;-1.0;Y
1972-01-01 00:00:01;1972-02-01 00:00:00;1972-01;-11.5;Y
1972-02-01 00:00:01;1972-03-01 00:00:00;1972-02;-6.1;Y
1972-03-01 00:00:01;1972-04-01 00:00:00;1972-03;-2.0;Y
1972-04-01 00:00:01;1972-05-01 00:00:00;1972-04;1.0;Y
1972-05-01 00:00:01;1972-06-01 00:00:00;1972-05;6.9;Y
1972-06-01 00:00:01;1972-07-01 00:00:00;1972-06;13.6;Y
1972-07-01 00:00:01;1972-08-01 00:00:00;1972-07;16.0;Y
1972-08-01 00:00:01;1972-09-01 00:00:00;1972-08;12.6;Y
1972-09-01 00:00:01;1972-10-01 00:00:00;1972-09;7.4;Y
1972-10-01 00:00:01;1972-11-01 00:00:00;1972-10;3.9;Y
1972-11-01 00:00:01;1972-12-01 00:00:00;1972-11;-0.5;Y
1972-12-01 00:00:01;1973-01-01 00:00:00;1972-12;-0.3;Y
1973-01-01 00:00:01;1973-02-01 00:00:00;1973-01;-0.4;Y
1973-02-01 00:00:01;1973-03-01 00:00:00;1973-02;-5.3;Y
1973-03-01 00:00:01;1973-04-01 00:00:00;1973-03;0.7;Y
1973-04-01 00:00:01;1973-05-01 00:00:00;1973-04;-0.0;Y
1973-05-01 00:00:01;1973-06-01 00:00:00;1973-05;6.8;Y
1973-06-01 00:00:01;1973-07-01 00:00:00;1973-06;12.5;Y
1973-07-01 00:00:01;1973-08-01 00:00:00;1973-07;16.4;Y
1973-08-01 00:00:01;1973-09-01 00:00:00;1973-08;12.0;Y
1973-09-01 00:00:01;1973-10-01 00:00:00;1973-09;5.9;Y
1973-10-01 00:00:01;1973-11-01 00:00:00;1973-10;1.5;Y
1973-11-01 00:00:01;1973-12-01 00:00:00;1973-11;-3.5;Y
1973-12-01 00:00:01;1974-01-01 00:00:00;1973-12;-7.4;Y
1974-01-01 00:00:01;1974-02-01 00:00:00;1974-01;-3.7;Y
1974-02-01 00:00:01;1974-03-01 00:00:00;1974-02;-3.5;Y
1974-03-01 00:00:01;1974-04-01 00:00:00;1974-03;-2.8;Y
1974-04-01 00:00:01;1974-05-01 00:00:00;1974-04;2.8;Y
1974-05-01 00:00:01;1974-06-01 00:00:00;1974-05;8.0;Y
1974-06-01 00:00:01;1974-07-01 00:00:00;1974-06;12.4;Y
1974-07-01 00:00:01;1974-08-01 00:00:00;1974-07;12.1;Y
1974-08-01 00:00:01;1974-09-01 00:00:00;1974-08;12.4;Y
1974-09-01 00:00:01;1974-10-01 00:00:00;1974-09;9.6;Y
1974-10-01 00:00:01;1974-11-01 00:00:00;1974-10;1.9;Y
1974-11-01 00:00:01;1974-12-01 00:00:00;1974-11;-3.4;Y
1974-12-01 00:00:01;1975-01-01 00:00:00;1974-12;-3.9;Y
1975-01-01 00:00:01;1975-02-01 00:00:00;1975-01;-3.8;Y
1975-02-01 00:00:01;1975-03-01 00:00:00;1975-02;-1.5;Y
1975-03-01 00:00:01;1975-04-01 00:00:00;1975-03;-2.4;Y
1975-04-01 00:00:01;1975-05-01 00:00:00;1975-04;0.4;Y
1975-05-01 00:00:01;1975-06-01 00:00:00;1975-05;6.7;Y
1975-06-01 00:00:01;1975-07-01 00:00:00;1975-06;10.1;Y
1975-07-01 00:00:01;1975-08-01 00:00:00;1975-07;14.4;Y
1975-08-01 00:00:01;1975-09-01 00:00:00;1975-08;13.5;Y
1975-09-01 00:00:01;1975-10-01 00:00:00;1975-09;9.5;Y
1975-10-01 00:00:01;1975-11-01 00:00:00;1975-10;4.3;Y
1975-11-01 00:00:01;1975-12-01 00:00:00;1975-11;0.7;Y
1975-12-01 00:00:01;1976-01-01 00:00:00;1975-12;-1.9;Y
1976-01-01 00:00:01;1976-02-01 00:00:00;1976-01;-9.6;Y
1976-02-01 00:00:01;1976-03-01 00:00:00;1976-02;-5.3;Y
1976-03-01 00:00:01;1976-04-01 00:00:00;1976-03;-5.6;Y
1976-04-01 00:00:01;1976-05-01 00:00:00;1976-04;0.5;Y
1976-05-01 00:00:01;1976-06-01 00:00:00;1976-05;9.2;Y
1976-06-01 00:00:01;1976-07-01 00:00:00;1976-06;10.8;Y
1976-07-01 00:00:01;1976-08-01 00:00:00;1976-07;13.7;Y
1976-08-01 00:00:01;1976-09-01 00:00:00;1976-08;13.5;Y
1976-09-01 00:00:01;1976-10-01 00:00:00;1976-09;5.3;Y
1976-10-01 00:00:01;1976-11-01 00:00:00;1976-10;2.1;Y
1976-11-01 00:00:01;1976-12-01 00:00:00;1976-11;-1.7;Y
1976-12-01 00:00:01;1977-01-01 00:00:00;1976-12;-9.0;Y
1977-01-01 00:00:01;1977-02-01 00:00:00;1977-01;-11.4;Y
1977-02-01 00:00:01;1977-03-01 00:00:00;1977-02;-12.4;Y
1977-03-01 00:00:01;1977-04-01 00:00:00;1977-03;-1.4;Y
1977-04-01 00:00:01;1977-05-01 00:00:00;1977-04;-1.5;Y
1977-05-01 00:00:01;1977-06-01 00:00:00;1977-05;5.7;Y
1977-06-01 00:00:01;1977-07-01 00:00:00;1977-06;10.3;Y
1977-07-01 00:00:01;1977-08-01 00:00:00;1977-07;12.6;Y
1977-08-01 00:00:01;1977-09-01 00:00:00;1977-08;12.0;Y
1977-09-01 00:00:01;1977-10-01 00:00:00;1977-09;7.4;Y
1977-10-01 00:00:01;1977-11-01 00:00:00;1977-10;4.4;Y
1977-11-01 00:00:01;1977-12-01 00:00:00;1977-11;-0.9;Y
1977-12-01 00:00:01;1978-01-01 00:00:00;1977-12;-3.0;Y
1978-01-01 00:00:01;1978-02-01 00:00:00;1978-01;-6.2;Y
1978-02-01 00:00:01;1978-03-01 00:00:00;1978-02;-12.1;Y
1978-03-01 00:00:01;1978-04-01 00:00:00;1978-03;-4.6;Y
1978-04-01 00:00:01;1978-05-01 00:00:00;1978-04;-0.1;Y
1978-05-01 00:00:01;1978-06-01 00:00:00;1978-05;7.1;Y
1978-06-01 00:00:01;1978-07-01 00:00:00;1978-06;12.6;Y
1978-07-01 00:00:01;1978-08-01 00:00:00;1978-07;13.8;Y
1978-08-01 00:00:01;1978-09-01 00:00:00;1978-08;11.6;Y
1978-09-01 00:00:01;1978-10-01 00:00:00;1978-09;6.8;Y
1978-10-01 00:00:01;1978-11-01 00:00:00;1978-10;3.4;Y
1978-11-01 00:00:01;1978-12-01 00:00:00;1978-11;-0.7;Y
1978-12-01 00:00:01;1979-01-01 00:00:00;1978-12;-15.2;Y
1979-01-01 00:00:01;1979-02-01 00:00:00;1979-01;-15.2;Y
1979-02-01 00:00:01;1979-03-01 00:00:00;1979-02;-8.6;Y
1979-03-01 00:00:01;1979-04-01 00:00:00;1979-03;-2.8;Y
1979-04-01 00:00:01;1979-05-01 00:00:00;1979-04;0.4;Y
1979-05-01 00:00:01;1979-06-01 00:00:00;1979-05;6.7;Y
1979-06-01 00:00:01;1979-07-01 00:00:00;1979-06;12.9;Y
1979-07-01 00:00:01;1979-08-01 00:00:00;1979-07;12.1;Y
1979-08-01 00:00:01;1979-09-01 00:00:00;1979-08;12.0;Y
1979-09-01 00:00:01;1979-10-01 00:00:00;1979-09;7.6;Y
1979-10-01 00:00:01;1979-11-01 00:00:00;1979-10;2.0;Y
1979-11-01 00:00:01;1979-12-01 00:00:00;1979-11;-2.3;Y
1979-12-01 00:00:01;1980-01-01 00:00:00;1979-12;-7.6;Y
1980-01-01 00:00:01;1980-02-01 00:00:00;1980-01;-11.8;Y
1980-02-01 00:00:01;1980-03-01 00:00:00;1980-02;-9.0;Y
1980-03-01 00:00:01;1980-04-01 00:00:00;1980-03;-5.8;Y
1980-04-01 00:00:01;1980-05-01 00:00:00;1980-04;2.5;Y
1980-05-01 00:00:01;1980-06-01 00:00:00;1980-05;7.0;Y
1980-06-01 00:00:01;1980-07-01 00:00:00;1980-06;14.2;Y
1980-07-01 00:00:01;1980-08-01 00:00:00;1980-07;15.4;Y
1980-08-01 00:00:01;1980-09-01 00:00:00;1980-08;12.8;Y
1980-09-01 00:00:01;1980-10-01 00:00:00;1980-09;9.3;Y
1980-10-01 00:00:01;1980-11-01 00:00:00;1980-10;1.4;Y
1980-11-01 00:00:01;1980-12-01 00:00:00;1980-11;-5.1;Y
1980-12-01 00:00:01;1981-01-01 00:00:00;1980-12;-6.9;Y
1981-01-01 00:00:01;1981-02-01 00:00:00;1981-01;-8.0;Y
1981-02-01 00:00:01;1981-03-01 00:00:00;1981-02;-7.1;Y
1981-03-01 00:00:01;1981-04-01 00:00:00;1981-03;-7.1;Y
1981-04-01 00:00:01;1981-05-01 00:00:00;1981-04;0.9;Y
1981-05-01 00:00:01;1981-06-01 00:00:00;1981-05;9.7;Y
1981-06-01 00:00:01;1981-07-01 00:00:00;1981-06;9.7;Y
1981-07-01 00:00:01;1981-08-01 00:00:00;1981-07;13.8;Y
1981-08-01 00:00:01;1981-09-01 00:00:00;1981-08;11.6;Y
1981-09-01 00:00:01;1981-10-01 00:00:00;1981-09;8.8;Y
1981-10-01 00:00:01;1981-11-01 00:00:00;1981-10;2.7;Y
1981-11-01 00:00:01;1981-12-01 00:00:00;1981-11;-3.8;Y
1981-12-01 00:00:01;1982-01-01 00:00:00;1981-12;-14.2;Y
1982-01-01 00:00:01;1982-02-01 00:00:00;1982-01;-11.2;Y
1982-02-01 00:00:01;1982-03-01 00:00:00;1982-02;-6.3;Y
1982-03-01 00:00:01;1982-04-01 00:00:00;1982-03;-1.4;Y
1982-04-01 00:00:01;1982-05-01 00:00:00;1982-04;1.5;Y
1982-05-01 00:00:01;1982-06-01 00:00:00;1982-05;6.0;Y
1982-06-01 00:00:01;1982-07-01 00:00:00;1982-06;9.4;Y
1982-07-01 00:00:01;1982-08-01 00:00:00;1982-07;14.2;Y
1982-08-01 00:00:01;1982-09-01 00:00:00;1982-08;13.6;Y
1982-09-01 00:00:01;1982-10-01 00:00:00;1982-09;8.3;Y
1982-10-01 00:00:01;1982-11-01 00:00:00;1982-10;3.2;Y
1982-11-01 00:00:01;1982-12-01 00:00:00;1982-11;-0.4;Y
1982-12-01 00:00:01;1983-01-01 00:00:00;1982-12;-3.8;Y
1983-01-01 00:00:01;1983-02-01 00:00:00;1983-01;-4.1;Y
1983-02-01 00:00:01;1983-03-01 00:00:00;1983-02;-6.0;Y
1983-03-01 00:00:01;1983-04-01 00:00:00;1983-03;-3.7;Y
1983-04-01 00:00:01;1983-05-01 00:00:00;1983-04;1.3;Y
1983-05-01 00:00:01;1983-06-01 00:00:00;1983-05;8.0;Y
1983-06-01 00:00:01;1983-07-01 00:00:00;1983-06;10.4;Y
1983-07-01 00:00:01;1983-08-01 00:00:00;1983-07;14.1;Y
1983-08-01 00:00:01;1983-09-01 00:00:00;1983-08;11.9;Y
1983-09-01 00:00:01;1983-10-01 00:00:00;1983-09;8.6;Y
1983-10-01 00:00:01;1983-11-01 00:00:00;1983-10;3.8;Y
1983-11-01 00:00:01;1983-12-01 00:00:00;1983-11;-2.1;Y
1983-12-01 00:00:01;1984-01-01 00:00:00;1983-12;-4.4;Y
1984-01-01 00:00:01;1984-02-01 00:00:00;1984-01;-10.9;Y
1984-02-01 00:00:01;1984-03-01 00:00:00;1984-02;-3.4;Y
1984-03-01 00:00:01;1984-04-01 00:00:00;1984-03;-5.5;Y
1984-04-01 00:00:01;1984-05-01 00:00:00;1984-04;3.2;Y
1984-05-01 00:00:01;1984-06-01 00:00:00;1984-05;10.4;Y
1984-06-01 00:00:01;1984-07-01 00:00:00;1984-06;11.2;Y
1984-07-01 00:00:01;1984-08-01 00:00:00;1984-07;13.0;Y
1984-08-01 00:00:01;1984-09-01 00:00:00;1984-08;12.7;Y
1984-09-01 00:00:01;1984-10-01 00:00:00;1984-09;6.8;Y
1984-10-01 00:00:01;1984-11-01 00:00:00;1984-10;4.7;Y
1984-11-01 00:00:01;1984-12-01 00:00:00;1984-11;-0.8;Y
1984-12-01 00:00:01;1985-01-01 00:00:00;1984-12;-2.7;Y
1985-01-01 00:00:01;1985-02-01 00:00:00;1985-01;-13.8;Y
1985-02-01 00:00:01;1985-03-01 00:00:00;1985-02;-15.1;Y
1985-03-01 00:00:01;1985-04-01 00:00:00;1985-03;-4.0;Y
1985-04-01 00:00:01;1985-05-01 00:00:00;1985-04;-0.7;Y
1985-05-01 00:00:01;1985-06-01 00:00:00;1985-05;6.2;Y
1985-06-01 00:00:01;1985-07-01 00:00:00;1985-06;12.0;Y
1985-07-01 00:00:01;1985-08-01 00:00:00;1985-07;13.8;Y
1985-08-01 00:00:01;1985-09-01 00:00:00;1985-08;13.0;Y
1985-09-01 00:00:01;1985-10-01 00:00:00;1985-09;6.9;Y
1985-10-01 00:00:01;1985-11-01 00:00:00;1985-10;6.0;Y
1985-11-01 00:00:01;1985-12-01 00:00:00;1985-11;-5.7;Y
1985-12-01 00:00:01;1986-01-01 00:00:00;1985-12;-10.8;Y
1986-01-01 00:00:01;1986-02-01 00:00:00;1986-01;-13.7;Y
1986-02-01 00:00:01;1986-03-01 00:00:00;1986-02;-8.7;Y
1986-03-01 00:00:01;1986-04-01 00:00:00;1986-03;-0.9;Y
1986-04-01 00:00:01;1986-05-01 00:00:00;1986-04;-0.9;Y
1986-05-01 00:00:01;1986-06-01 00:00:00;1986-05;9.6;Y
1986-06-01 00:00:01;1986-07-01 00:00:00;1986-06;14.4;Y
1986-07-01 00:00:01;1986-08-01 00:00:00;1986-07;13.4;Y
1986-08-01 00:00:01;1986-09-01 00:00:00;1986-08;9.9;Y
1986-09-01 00:00:01;1986-10-01 00:00:00;1986-09;5.9;Y
1986-10-01 00:00:01;1986-11-01 00:00:00;1986-10;4.5;Y
1986-11-01 00:00:01;1986-12-01 00:00:00;1986-11;0.8;Y
1986-12-01 00:00:01;1987-01-01 00:00:00;1986-12;-9.2;Y
1987-01-01 00:00:01;1987-02-01 00:00:00;1987-01;-16.2;Y
1987-02-01 00:00:01;1987-03-01 00:00:00;1987-02;-7.0;Y
1987-03-01 00:00:01;1987-04-01 00:00:00;1987-03;-7.2;Y
1987-04-01 00:00:01;1987-05-01 00:00:00;1987-04;2.0;Y
1987-05-01 00:00:01;1987-06-01 00:00:00;1987-05;5.1;Y
1987-06-01 00:00:01;1987-07-01 00:00:00;1987-06;9.9;Y
1987-07-01 00:00:01;1987-08-01 00:00:00;1987-07;12.6;Y
1987-08-01 00:00:01;1987-09-01 00:00:00;1987-08;9.7;Y
1987-09-01 00:00:01;1987-10-01 00:00:00;1987-09;7.5;Y
1987-10-01 00:00:01;1987-11-01 00:00:00;1987-10;5.5;Y
1987-11-01 00:00:01;1987-12-01 00:00:00;1987-11;-1.3;Y
1987-12-01 00:00:01;1988-01-01 00:00:00;1987-12;-3.4;Y
1988-01-01 00:00:01;1988-02-01 00:00:00;1988-01;-4.5;Y
1988-02-01 00:00:01;1988-03-01 00:00:00;1988-02;-6.7;Y
1988-03-01 00:00:01;1988-04-01 00:00:00;1988-03;-5.3;Y
1988-04-01 00:00:01;1988-05-01 00:00:00;1988-04;-0.5;Y
1988-05-01 00:00:01;1988-06-01 00:00:00;1988-05;8.6;Y
1988-06-01 00:00:01;1988-07-01 00:00:00;1988-06;13.4;Y
1988-07-01 00:00:01;1988-08-01 00:00:00;1988-07;15.7;Y
1988-08-01 00:00:01;1988-09-01 00:00:00;1988-08;12.2;Y
1988-09-01 00:00:01;1988-10-01 00:00:00;1988-09;9.6;Y
1988-10-01 00:00:01;1988-11-01 00:00:00;1988-10;3.3;Y
1988-11-01 00:00:01;1988-12-01 00:00:00;1988-11;-2.1;Y
1988-12-01 00:00:01;1989-01-01 00:00:00;1988-12;-4.7;Y
1989-01-01 00:00:01;1989-02-01 00:00:00;1989-01;-0.1;Y
1989-02-01 00:00:01;1989-03-01 00:00:00;1989-02;-1.3;Y
1989-03-01 00:00:01;1989-04-01 00:00:00;1989-03;-0.1;Y
1989-04-01 00:00:01;1989-05-01 00:00:00;1989-04;1.7;Y
1989-05-01 00:00:01;1989-06-01 00:00:00;1989-05;7.3;Y
1989-06-01 00:00:01;1989-07-01 00:00:00;1989-06;12.5;Y
1989-07-01 00:00:01;1989-08-01 00:00:00;1989-07;13.7;Y
1989-08-01 00:00:01;1989-09-01 00:00:00;1989-08;12.4;Y
1989-09-01 00:00:01;1989-10-01 00:00:00;1989-09;9.3;Y
1989-10-01 00:00:01;1989-11-01 00:00:00;1989-10;3.9;Y
1989-11-01 00:00:01;1989-12-01 00:00:00;1989-11;0.1;Y
1989-12-01 00:00:01;1990-01-01 00:00:00;1989-12;-7.4;Y
1990-01-01 00:00:01;1990-02-01 00:00:00;1990-01;-6.1;Y
1990-02-01 00:00:01;1990-03-01 00:00:00;1990-02;0.3;Y
1990-03-01 00:00:01;1990-04-01 00:00:00;1990-03;0.1;Y
1990-04-01 00:00:01;1990-05-01 00:00:00;1990-04;3.1;Y
1990-05-01 00:00:01;1990-06-01 00:00:00;1990-05;7.9;Y
1990-06-01 00:00:01;1990-07-01 00:00:00;1990-06;12.1;Y
1990-07-01 00:00:01;1990-08-01 00:00:00;1990-07;13.3;Y
1990-08-01 00:00:01;1990-09-01 00:00:00;1990-08;13.3;Y
1990-09-01 00:00:01;1990-10-01 00:00:00;1990-09;7.3;Y
1990-10-01 00:00:01;1990-11-01 00:00:00;1990-10;4.5;Y
1990-11-01 00:00:01;1990-12-01 00:00:00;1990-11;-1.5;Y
1990-12-01 00:00:01;1991-01-01 00:00:00;1990-12;-2.2;Y
1991-01-01 00:00:01;1991-02-01 00:00:00;1991-01;-4.6;Y
1991-02-01 00:00:01;1991-03-01 00:00:00;1991-02;-9.5;Y
1991-03-01 00:00:01;1991-04-01 00:00:00;1991-03;-1.1;Y
1991-04-01 00:00:01;1991-05-01 00:00:00;1991-04;2.8;Y
1991-05-01 00:00:01;1991-06-01 00:00:00;1991-05;5.3;Y
1991-06-01 00:00:01;1991-07-01 00:00:00;1991-06;9.3;Y
1991-07-01 00:00:01;1991-08-01 00:00:00;1991-07;15.5;Y
1991-08-01 00:00:01;1991-09-01 00:00:00;1991-08;14.3;Y
1991-09-01 00:00:01;1991-10-01 00:00:00;1991-09;7.6;Y
1991-10-01 00:00:01;1991-11-01 00:00:00;1991-10;3.3;Y
1991-11-01 00:00:01;1991-12-01 00:00:00;1991-11;0.4;Y
1991-12-01 00:00:01;1992-01-01 00:00:00;1991-12;-1.4;Y
1992-01-01 00:00:01;1992-02-01 00:00:00;1992-01;-1.4;Y
1992-02-01 00:00:01;1992-03-01 00:00:00;1992-02;-2.2;Y
1992-03-01 00:00:01;1992-04-01 00:00:00;1992-03;-0.2;Y
1992-04-01 00:00:01;1992-05-01 00:00:00;1992-04;-1.1;Y
1992-05-01 00:00:01;1992-06-01 00:00:00;1992-05;9.8;Y
1992-06-01 00:00:01;1992-07-01 00:00:00;1992-06;14.1;Y
1992-07-01 00:00:01;1992-08-01 00:00:00;1992-07;12.0;Y
1992-08-01 00:00:01;1992-09-01 00:00:00;1992-08;11.1;Y
1992-09-01 00:00:01;1992-10-01 00:00:00;1992-09;8.5;Y
1992-10-01 00:00:01;1992-11-01 00:00:00;1992-10;-2.0;Y
1992-11-01 00:00:01;1992-12-01 00:00:00;1992-11;-3.5;Y
1992-12-01 00:00:01;1993-01-01 00:00:00;1992-12;-3.1;Y
1993-01-01 00:00:01;1993-02-01 00:00:00;1993-01;-4.4;Y
1993-02-01 00:00:01;1993-03-01 00:00:00;1993-02;-3.3;Y
1993-03-01 00:00:01;1993-04-01 00:00:00;1993-03;-1.4;Y
1993-04-01 00:00:01;1993-05-01 00:00:00;1993-04;3.0;Y
1993-05-01 00:00:01;1993-06-01 00:00:00;1993-05;8.6;Y
1993-06-01 00:00:01;1993-07-01 00:00:00;1993-06;8.2;Y
1993-07-01 00:00:01;1993-08-01 00:00:00;1993-07;12.6;Y
1993-08-01 00:00:01;1993-09-01 00:00:00;1993-08;10.8;Y
1993-09-01 00:00:01;1993-10-01 00:00:00;1993-09;6.5;Y
1993-10-01 00:00:01;1993-11-01 00:00:00;1993-10;1.4;Y
1993-11-01 00:00:01;1993-12-01 00:00:00;1993-11;-3.5;Y
1993-12-01 00:00:01;1994-01-01 00:00:00;1993-12;-7.9;Y
1994-01-01 00:00:01;1994-02-01 00:00:00;1994-01;-9.3;Y
1994-02-01 00:00:01;1994-03-01 00:00:00;1994-02;-13.6;Y
1994-03-01 00:00:01;1994-04-01 00:00:00;1994-03;-3.4;Y
1994-04-01 00:00:01;1994-05-01 00:00:00;1994-04;2.9;Y
1994-05-01 00:00:01;1994-06-01 00:00:00;1994-05;6.0;Y
1994-06-01 00:00:01;1994-07-01 00:00:00;1994-06;9.4;Y
1994-07-01 00:00:01;1994-08-01 00:00:00;1994-07;17.2;Y
1994-08-01 00:00:01;1994-09-01 00:00:00;1994-08;13.0;Y
1994-09-01 00:00:01;1994-10-01 00:00:00;1994-09;7.6;Y
1994-10-01 00:00:01;1994-11-01 00:00:00;1994-10;2.4;Y
1994-11-01 00:00:01;1994-12-01 00:00:00;1994-11;-1.3;Y
1994-12-01 00:00:01;1995-01-01 00:00:00;1994-12;-1.7;Y
1995-01-01 00:00:01;1995-02-01 00:00:00;1995-01;-5.6;Y
1995-02-01 00:00:01;1995-03-01 00:00:00;1995-02;-3.2;Y
1995-03-01 00:00:01;1995-04-01 00:00:00;1995-03;-2.1;Y
1995-04-01 00:00:01;1995-05-01 00:00:00;1995-04;-0.2;Y
1995-05-01 00:00:01;1995-06-01 00:00:00;1995-05;5.8;Y
1995-06-01 00:00:01;1995-07-01 00:00:00;1995-06;11.2;Y
1995-07-01 00:00:01;1995-08-01 00:00:00;1995-07;12.7;Y
1995-08-01 00:00:01;1995-09-01 00:00:00;1995-08;12.2;Y
1995-09-01 00:00:01;1995-10-01 00:00:00;1995-09;8.2;Y
1995-10-01 00:00:01;1995-11-01 00:00:00;1995-10;5.7;Y
1995-11-01 00:00:01;1995-12-01 00:00:00;1995-11;-2.5;Y
1995-12-01 00:00:01;1996-01-01 00:00:00;1995-12;-6.2;Y
1996-01-01 00:00:01;1996-02-01 00:00:00;1996-01;-7.7;Y
1996-02-01 00:00:01;1996-03-01 00:00:00;1996-02;-9.6;Y
1996-03-01 00:00:01;1996-04-01 00:00:00;1996-03;-2.7;Y
1996-04-01 00:00:01;1996-05-01 00:00:00;1996-04;2.3;Y
1996-05-01 00:00:01;1996-06-01 00:00:00;1996-05;5.2;Y
1996-06-01 00:00:01;1996-07-01 00:00:00;1996-06;10.5;Y
1996-07-01 00:00:01;1996-08-01 00:00:00;1996-07;12.5;Y
1996-08-01 00:00:01;1996-09-01 00:00:00;1996-08;15.6;Y
1996-09-01 00:00:01;1996-10-01 00:00:00;1996-09;7.9;Y
1996-10-01 00:00:01;1996-11-01 00:00:00;1996-10;4.8;Y
1996-11-01 00:00:01;1996-12-01 00:00:00;1996-11;-3.4;Y
1996-12-01 00:00:01;1997-01-01 00:00:00;1996-12;-6.3;Y
1997-01-01 00:00:01;1997-02-01 00:00:00;1997-01;-3.0;Y
1997-02-01 00:00:01;1997-03-01 00:00:00;1997-02;-4.9;Y
1997-03-01 00:00:01;1997-04-01 00:00:00;1997-03;-1.2;Y
1997-04-01 00:00:01;1997-05-01 00:00:00;1997-04;-0.7;Y
1997-05-01 00:00:01;1997-06-01 00:00:00;1997-05;5.1;Y
1997-06-01 00:00:01;1997-07-01 00:00:00;1997-06;13.0;Y
1997-07-01 00:00:01;1997-08-01 00:00:00;1997-07;16.8;Y
1997-08-01 00:00:01;1997-09-01 00:00:00;1997-08;15.7;Y
1997-09-01 00:00:01;1997-10-01 00:00:00;1997-09;9.4;Y
1997-10-01 00:00:01;1997-11-01 00:00:00;1997-10;1.9;Y
1997-11-01 00:00:01;1997-12-01 00:00:00;1997-11;-2.5;Y
1997-12-01 00:00:01;1998-01-01 00:00:00;1997-12;-4.5;Y
1998-01-01 00:00:01;1998-02-01 00:00:00;1998-01;-3.4;Y
1998-02-01 00:00:01;1998-03-01 00:00:00;1998-02;-3.4;Y
1998-03-01 00:00:01;1998-04-01 00:00:00;1998-03;-2.8;Y
1998-04-01 00:00:01;1998-05-01 00:00:00;1998-04;0.1;Y
1998-05-01 00:00:01;1998-06-01 00:00:00;1998-05;6.8;Y
1998-06-01 00:00:01;1998-07-01 00:00:00;1998-06;10.7;Y
1998-07-01 00:00:01;1998-08-01 00:00:00;1998-07;12.9;Y
1998-08-01 00:00:01;1998-09-01 00:00:00;1998-08;10.9;Y
1998-09-01 00:00:01;1998-10-01 00:00:00;1998-09;9.8;Y
1998-10-01 00:00:01;1998-11-01 00:00:00;1998-10;3.3;Y
1998-11-01 00:00:01;1998-12-01 00:00:00;1998-11;-4.2;Y
1998-12-01 00:00:01;1999-01-01 00:00:00;1998-12;-4.5;Y
1999-01-01 00:00:01;1999-02-01 00:00:00;1999-01;-8.0;Y
1999-02-01 00:00:01;1999-03-01 00:00:00;1999-02;-6.1;Y
1999-03-01 00:00:01;1999-04-01 00:00:00;1999-03;-3.1;Y
1999-04-01 00:00:01;1999-05-01 00:00:00;1999-04;2.8;Y
1999-05-01 00:00:01;1999-06-01 00:00:00;1999-05;6.1;Y
1999-06-01 00:00:01;1999-07-01 00:00:00;1999-06;12.6;Y
1999-07-01 00:00:01;1999-08-01 00:00:00;1999-07;13.7;Y
1999-08-01 00:00:01;1999-09-01 00:00:00;1999-08;11.7;Y
1999-09-01 00:00:01;1999-10-01 00:00:00;1999-09;11.3;Y
1999-10-01 00:00:01;1999-11-01 00:00:00;1999-10;3.8;Y
1999-11-01 00:00:01;1999-12-01 00:00:00;1999-11;2.5;Y
1999-12-01 00:00:01;2000-01-01 00:00:00;1999-12;-7.7;Y
2000-01-01 00:00:01;2000-02-01 00:00:00;2000-01;-3.5;Y
2000-02-01 00:00:01;2000-03-01 00:00:00;2000-02;-3.4;Y
2000-03-01 00:00:01;2000-04-01 00:00:00;2000-03;-2.7;Y
2000-04-01 00:00:01;2000-05-01 00:00:00;2000-04;2.3;Y
2000-05-01 00:00:01;2000-06-01 00:00:00;2000-05;8.5;Y
2000-06-01 00:00:01;2000-07-01 00:00:00;2000-06;10.0;Y
2000-07-01 00:00:01;2000-08-01 00:00:00;2000-07;12.5;Y
2000-08-01 00:00:01;2000-09-01 00:00:00;2000-08;12.2;Y
2000-09-01 00:00:01;2000-10-01 00:00:00;2000-09;9.3;Y
2000-10-01 00:00:01;2000-11-01 00:00:00;2000-10;6.4;Y
2000-11-01 00:00:01;2000-12-01 00:00:00;2000-11;1.3;Y
2000-12-01 00:00:01;2001-01-01 00:00:00;2000-12;-3.7;Y
2001-01-01 00:00:01;2001-02-01 00:00:00;2001-01;-4.1;Y
2001-02-01 00:00:01;2001-03-01 00:00:00;2001-02;-10.3;Y
2001-03-01 00:00:01;2001-04-01 00:00:00;2001-03;-6.9;Y
2001-04-01 00:00:01;2001-05-01 00:00:00;2001-04;1.2;Y
2001-05-01 00:00:01;2001-06-01 00:00:00;2001-05;6.4;Y
