﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Umeå Flygplats;140480;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-02-01 00:00:00;1981-07-06 23:59:59;7.0;63.7947;20.2918
1981-08-01 00:00:00;2026-05-01 14:20:59;7.31;63.7931;20.2800

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1991-06-01 00:00:01;1991-07-01 00:00:00;1991-06;10.7;Y
1991-07-01 00:00:01;1991-08-01 00:00:00;1991-07;16.3;Y
1991-08-01 00:00:01;1991-09-01 00:00:00;1991-08;15.5;Y
1991-09-01 00:00:01;1991-10-01 00:00:00;1991-09;7.6;Y
1991-10-01 00:00:01;1991-11-01 00:00:00;1991-10;3.7;Y
1991-11-01 00:00:01;1991-12-01 00:00:00;1991-11;-0.0;Y
1991-12-01 00:00:01;1992-01-01 00:00:00;1991-12;-2.7;Y
1992-01-01 00:00:01;1992-02-01 00:00:00;1992-01;-3.4;Y
1992-02-01 00:00:01;1992-03-01 00:00:00;1992-02;-1.8;Y
1992-03-01 00:00:01;1992-04-01 00:00:00;1992-03;0.1;Y
1992-04-01 00:00:01;1992-05-01 00:00:00;1992-04;-0.8;Y
1992-05-01 00:00:01;1992-06-01 00:00:00;1992-05;9.6;Y
1992-06-01 00:00:01;1992-07-01 00:00:00;1992-06;14.4;Y
1992-07-01 00:00:01;1992-08-01 00:00:00;1992-07;14.0;Y
1992-08-01 00:00:01;1992-09-01 00:00:00;1992-08;12.9;Y
1992-09-01 00:00:01;1992-10-01 00:00:00;1992-09;9.6;Y
1992-10-01 00:00:01;1992-11-01 00:00:00;1992-10;-1.7;Y
1992-11-01 00:00:01;1992-12-01 00:00:00;1992-11;-3.6;Y
1992-12-01 00:00:01;1993-01-01 00:00:00;1992-12;-1.6;Y
1993-01-01 00:00:01;1993-02-01 00:00:00;1993-01;-4.7;Y
1993-02-01 00:00:01;1993-03-01 00:00:00;1993-02;-2.8;Y
1993-03-01 00:00:01;1993-04-01 00:00:00;1993-03;-0.5;Y
1993-04-01 00:00:01;1993-05-01 00:00:00;1993-04;1.7;Y
1993-05-01 00:00:01;1993-06-01 00:00:00;1993-05;9.0;Y
1993-06-01 00:00:01;1993-07-01 00:00:00;1993-06;10.4;Y
1993-07-01 00:00:01;1993-08-01 00:00:00;1993-07;15.1;Y
1993-08-01 00:00:01;1993-09-01 00:00:00;1993-08;12.6;Y
1993-09-01 00:00:01;1993-10-01 00:00:00;1993-09;6.1;Y
1993-10-01 00:00:01;1993-11-01 00:00:00;1993-10;2.5;Y
1993-11-01 00:00:01;1993-12-01 00:00:00;1993-11;-1.8;Y
1993-12-01 00:00:01;1994-01-01 00:00:00;1993-12;-5.6;Y
1994-01-01 00:00:01;1994-02-01 00:00:00;1994-01;-10.0;Y
1994-02-01 00:00:01;1994-03-01 00:00:00;1994-02;-14.3;Y
1994-03-01 00:00:01;1994-04-01 00:00:00;1994-03;-5.0;Y
1994-04-01 00:00:01;1994-05-01 00:00:00;1994-04;2.8;Y
1994-05-01 00:00:01;1994-06-01 00:00:00;1994-05;6.2;Y
1994-06-01 00:00:01;1994-07-01 00:00:00;1994-06;11.7;Y
1994-07-01 00:00:01;1994-08-01 00:00:00;1994-07;17.4;Y
1994-08-01 00:00:01;1994-09-01 00:00:00;1994-08;15.3;Y
1994-09-01 00:00:01;1994-10-01 00:00:00;1994-09;8.8;Y
1994-10-01 00:00:01;1994-11-01 00:00:00;1994-10;2.8;Y
1994-11-01 00:00:01;1994-12-01 00:00:00;1994-11;-2.0;Y
1994-12-01 00:00:01;1995-01-01 00:00:00;1994-12;-0.9;Y
1995-01-01 00:00:01;1995-02-01 00:00:00;1995-01;-5.6;Y
1995-02-01 00:00:01;1995-03-01 00:00:00;1995-02;-3.0;Y
1995-03-01 00:00:01;1995-04-01 00:00:00;1995-03;-0.8;Y
1995-04-01 00:00:01;1995-05-01 00:00:00;1995-04;1.4;Y
1995-05-01 00:00:01;1995-06-01 00:00:00;1995-05;6.2;Y
1995-06-01 00:00:01;1995-07-01 00:00:00;1995-06;14.5;Y
1995-07-01 00:00:01;1995-08-01 00:00:00;1995-07;14.2;Y
1995-08-01 00:00:01;1995-09-01 00:00:00;1995-08;14.2;Y
1995-09-01 00:00:01;1995-10-01 00:00:00;1995-09;9.2;Y
1995-10-01 00:00:01;1995-11-01 00:00:00;1995-10;5.8;Y
1995-11-01 00:00:01;1995-12-01 00:00:00;1995-11;-3.6;Y
1995-12-01 00:00:01;1996-01-01 00:00:00;1995-12;-9.4;Y
1996-01-01 00:00:01;1996-02-01 00:00:00;1996-01;-4.7;Y
1996-02-01 00:00:01;1996-03-01 00:00:00;1996-02;-11.7;Y
1996-03-01 00:00:01;1996-04-01 00:00:00;1996-03;-3.5;Y
1996-04-01 00:00:01;1996-05-01 00:00:00;1996-04;1.4;Y
1996-05-01 00:00:01;1996-06-01 00:00:00;1996-05;6.3;Y
1996-06-01 00:00:01;1996-07-01 00:00:00;1996-06;12.1;Y
1996-07-01 00:00:01;1996-08-01 00:00:00;1996-07;14.2;Y
1996-08-01 00:00:01;1996-09-01 00:00:00;1996-08;16.0;Y
1996-09-01 00:00:01;1996-10-01 00:00:00;1996-09;8.8;Y
1996-10-01 00:00:01;1996-11-01 00:00:00;1996-10;5.4;Y
1996-11-01 00:00:01;1996-12-01 00:00:00;1996-11;-2.5;Y
1996-12-01 00:00:01;1997-01-01 00:00:00;1996-12;-6.7;Y
1997-01-01 00:00:01;1997-02-01 00:00:00;1997-01;-5.3;Y
1997-02-01 00:00:01;1997-03-01 00:00:00;1997-02;-4.7;Y
1997-03-01 00:00:01;1997-04-01 00:00:00;1997-03;-1.2;Y
1997-04-01 00:00:01;1997-05-01 00:00:00;1997-04;0.5;Y
1997-05-01 00:00:01;1997-06-01 00:00:00;1997-05;5.9;Y
1997-06-01 00:00:01;1997-07-01 00:00:00;1997-06;14.0;Y
1997-07-01 00:00:01;1997-08-01 00:00:00;1997-07;18.4;Y
1997-08-01 00:00:01;1997-09-01 00:00:00;1997-08;16.6;Y
1997-09-01 00:00:01;1997-10-01 00:00:00;1997-09;10.7;Y
1997-10-01 00:00:01;1997-11-01 00:00:00;1997-10;1.8;Y
1997-11-01 00:00:01;1997-12-01 00:00:00;1997-11;-2.0;Y
1997-12-01 00:00:01;1998-01-01 00:00:00;1997-12;-4.9;Y
1998-01-01 00:00:01;1998-02-01 00:00:00;1998-01;-5.2;Y
1998-02-01 00:00:01;1998-03-01 00:00:00;1998-02;-7.3;Y
1998-04-01 00:00:01;1998-05-01 00:00:00;1998-04;-0.7;Y
1998-05-01 00:00:01;1998-06-01 00:00:00;1998-05;6.5;Y
1998-07-01 00:00:01;1998-08-01 00:00:00;1998-07;15.0;Y
1998-08-01 00:00:01;1998-09-01 00:00:00;1998-08;12.7;Y
1998-09-01 00:00:01;1998-10-01 00:00:00;1998-09;9.5;Y
1998-10-01 00:00:01;1998-11-01 00:00:00;1998-10;4.0;Y
1998-11-01 00:00:01;1998-12-01 00:00:00;1998-11;-3.4;Y
1998-12-01 00:00:01;1999-01-01 00:00:00;1998-12;-3.9;Y
1999-01-01 00:00:01;1999-02-01 00:00:00;1999-01;-8.2;Y
1999-02-01 00:00:01;1999-03-01 00:00:00;1999-02;-7.4;Y
1999-03-01 00:00:01;1999-04-01 00:00:00;1999-03;-3.8;Y
1999-04-01 00:00:01;1999-05-01 00:00:00;1999-04;2.6;Y
1999-05-01 00:00:01;1999-06-01 00:00:00;1999-05;6.0;Y
1999-06-01 00:00:01;1999-07-01 00:00:00;1999-06;13.8;Y
1999-07-01 00:00:01;1999-08-01 00:00:00;1999-07;15.8;Y
1999-08-01 00:00:01;1999-09-01 00:00:00;1999-08;12.6;Y
1999-09-01 00:00:01;1999-10-01 00:00:00;1999-09;10.9;Y
1999-10-01 00:00:01;1999-11-01 00:00:00;1999-10;4.5;Y
1999-11-01 00:00:01;1999-12-01 00:00:00;1999-11;2.3;Y
1999-12-01 00:00:01;2000-01-01 00:00:00;1999-12;-8.5;Y
2000-01-01 00:00:01;2000-02-01 00:00:00;2000-01;-4.6;Y
2000-02-01 00:00:01;2000-03-01 00:00:00;2000-02;-4.3;Y
2000-03-01 00:00:01;2000-04-01 00:00:00;2000-03;-3.2;Y
2000-04-01 00:00:01;2000-05-01 00:00:00;2000-04;1.9;Y
2000-05-01 00:00:01;2000-06-01 00:00:00;2000-05;8.2;Y
2000-06-01 00:00:01;2000-07-01 00:00:00;2000-06;12.0;Y
2000-07-01 00:00:01;2000-08-01 00:00:00;2000-07;15.1;Y
2000-08-01 00:00:01;2000-09-01 00:00:00;2000-08;13.3;Y
2000-09-01 00:00:01;2000-10-01 00:00:00;2000-09;8.9;Y
2000-10-01 00:00:01;2000-11-01 00:00:00;2000-10;7.1;Y
2000-11-01 00:00:01;2000-12-01 00:00:00;2000-11;2.8;Y
2000-12-01 00:00:01;2001-01-01 00:00:00;2000-12;-2.3;Y
2001-01-01 00:00:01;2001-02-01 00:00:00;2001-01;-3.9;Y
2001-02-01 00:00:01;2001-03-01 00:00:00;2001-02;-10.5;Y
2001-03-01 00:00:01;2001-04-01 00:00:00;2001-03;-7.6;Y
2001-04-01 00:00:01;2001-05-01 00:00:00;2001-04;1.9;Y
2001-05-01 00:00:01;2001-06-01 00:00:00;2001-05;6.9;Y
2001-06-01 00:00:01;2001-07-01 00:00:00;2001-06;13.0;Y
2001-07-01 00:00:01;2001-08-01 00:00:00;2001-07;16.0;Y
2001-08-01 00:00:01;2001-09-01 00:00:00;2001-08;13.4;Y
2001-09-01 00:00:01;2001-10-01 00:00:00;2001-09;10.0;Y
2001-10-01 00:00:01;2001-11-01 00:00:00;2001-10;4.9;Y
2001-11-01 00:00:01;2001-12-01 00:00:00;2001-11;-1.1;Y
2001-12-01 00:00:01;2002-01-01 00:00:00;2001-12;-7.3;Y
2002-01-01 00:00:01;2002-02-01 00:00:00;2002-01;-5.9;Y
2002-02-01 00:00:01;2002-03-01 00:00:00;2002-02;-3.4;Y
2002-03-01 00:00:01;2002-04-01 00:00:00;2002-03;-3.1;Y
2002-04-01 00:00:01;2002-05-01 00:00:00;2002-04;3.4;Y
2002-05-01 00:00:01;2002-06-01 00:00:00;2002-05;9.2;Y
2002-06-01 00:00:01;2002-07-01 00:00:00;2002-06;15.5;Y
2002-07-01 00:00:01;2002-08-01 00:00:00;2002-07;17.3;Y
2002-08-01 00:00:01;2002-09-01 00:00:00;2002-08;17.0;Y
2002-09-01 00:00:01;2002-10-01 00:00:00;2002-09;9.0;Y
2002-10-01 00:00:01;2002-11-01 00:00:00;2002-10;0.1;Y
2002-11-01 00:00:01;2002-12-01 00:00:00;2002-11;-5.2;Y
2002-12-01 00:00:01;2003-01-01 00:00:00;2002-12;-10.9;Y
2003-01-01 00:00:01;2003-02-01 00:00:00;2003-01;-12.4;Y
2003-02-01 00:00:01;2003-03-01 00:00:00;2003-02;-5.5;Y
2003-03-01 00:00:01;2003-04-01 00:00:00;2003-03;0.1;Y
2003-04-01 00:00:01;2003-05-01 00:00:00;2003-04;0.8;Y
2003-05-01 00:00:01;2003-06-01 00:00:00;2003-05;7.7;Y
2003-06-01 00:00:01;2003-07-01 00:00:00;2003-06;12.7;Y
2003-07-01 00:00:01;2003-08-01 00:00:00;2003-07;18.8;Y
2003-08-01 00:00:01;2003-09-01 00:00:00;2003-08;14.8;Y
2003-09-01 00:00:01;2003-10-01 00:00:00;2003-09;9.7;Y
2003-10-01 00:00:01;2003-11-01 00:00:00;2003-10;1.8;Y
2003-11-01 00:00:01;2003-12-01 00:00:00;2003-11;-1.4;Y
2003-12-01 00:00:01;2004-01-01 00:00:00;2003-12;-4.1;Y
2004-01-01 00:00:01;2004-02-01 00:00:00;2004-01;-7.9;Y
2004-02-01 00:00:01;2004-03-01 00:00:00;2004-02;-6.2;Y
2004-03-01 00:00:01;2004-04-01 00:00:00;2004-03;-2.8;Y
2004-04-01 00:00:01;2004-05-01 00:00:00;2004-04;3.0;Y
2004-05-01 00:00:01;2004-06-01 00:00:00;2004-05;7.9;Y
2004-06-01 00:00:01;2004-07-01 00:00:00;2004-06;11.6;Y
2004-07-01 00:00:01;2004-08-01 00:00:00;2004-07;15.3;Y
2004-08-01 00:00:01;2004-09-01 00:00:00;2004-08;15.0;Y
2004-09-01 00:00:01;2004-10-01 00:00:00;2004-09;10.4;Y
2004-10-01 00:00:01;2004-11-01 00:00:00;2004-10;3.9;Y
2004-11-01 00:00:01;2004-12-01 00:00:00;2004-11;-3.0;Y
2004-12-01 00:00:01;2005-01-01 00:00:00;2004-12;-3.4;Y
2005-01-01 00:00:01;2005-02-01 00:00:00;2005-01;-3.9;Y
2005-02-01 00:00:01;2005-03-01 00:00:00;2005-02;-4.7;Y
2005-03-01 00:00:01;2005-04-01 00:00:00;2005-03;-5.6;Y
2005-04-01 00:00:01;2005-05-01 00:00:00;2005-04;3.0;Y
2005-05-01 00:00:01;2005-06-01 00:00:00;2005-05;6.7;Y
2005-06-01 00:00:01;2005-07-01 00:00:00;2005-06;12.9;Y
2005-07-01 00:00:01;2005-08-01 00:00:00;2005-07;16.9;Y
2005-08-01 00:00:01;2005-09-01 00:00:00;2005-08;14.5;Y
2005-09-01 00:00:01;2005-10-01 00:00:00;2005-09;10.0;Y
2005-10-01 00:00:01;2005-11-01 00:00:00;2005-10;5.5;Y
2005-11-01 00:00:01;2005-12-01 00:00:00;2005-11;1.6;Y
2005-12-01 00:00:01;2006-01-01 00:00:00;2005-12;-5.0;Y
2006-01-01 00:00:01;2006-02-01 00:00:00;2006-01;-5.6;Y
2006-02-01 00:00:01;2006-03-01 00:00:00;2006-02;-8.0;Y
2006-03-01 00:00:01;2006-04-01 00:00:00;2006-03;-8.2;Y
2006-04-01 00:00:01;2006-05-01 00:00:00;2006-04;1.4;Y
2006-05-01 00:00:01;2006-06-01 00:00:00;2006-05;8.3;Y
2006-06-01 00:00:01;2006-07-01 00:00:00;2006-06;13.6;Y
2006-07-01 00:00:01;2006-08-01 00:00:00;2006-07;16.0;Y
2006-08-01 00:00:01;2006-09-01 00:00:00;2006-08;17.6;Y
2006-09-01 00:00:01;2006-10-01 00:00:00;2006-09;12.3;Y
2006-10-01 00:00:01;2006-11-01 00:00:00;2006-10;3.6;Y
2006-11-01 00:00:01;2006-12-01 00:00:00;2006-11;0.2;Y
2006-12-01 00:00:01;2007-01-01 00:00:00;2006-12;0.4;Y
2007-01-01 00:00:01;2007-02-01 00:00:00;2007-01;-5.9;Y
2007-02-01 00:00:01;2007-03-01 00:00:00;2007-02;-9.9;Y
2007-03-01 00:00:01;2007-04-01 00:00:00;2007-03;-0.6;Y
2007-04-01 00:00:01;2007-05-01 00:00:00;2007-04;4.3;Y
2007-05-01 00:00:01;2007-06-01 00:00:00;2007-05;7.6;Y
2007-06-01 00:00:01;2007-07-01 00:00:00;2007-06;13.1;Y
2007-07-01 00:00:01;2007-08-01 00:00:00;2007-07;15.6;Y
2007-08-01 00:00:01;2007-09-01 00:00:00;2007-08;14.6;Y
2007-09-01 00:00:01;2007-10-01 00:00:00;2007-09;8.6;Y
2007-10-01 00:00:01;2007-11-01 00:00:00;2007-10;5.5;Y
2007-11-01 00:00:01;2007-12-01 00:00:00;2007-11;-1.6;Y
2007-12-01 00:00:01;2008-01-01 00:00:00;2007-12;-0.8;Y
2008-01-01 00:00:01;2008-02-01 00:00:00;2008-01;-2.4;Y
2008-02-01 00:00:01;2008-03-01 00:00:00;2008-02;-1.9;Y
2008-03-01 00:00:01;2008-04-01 00:00:00;2008-03;-2.8;Y
2008-04-01 00:00:01;2008-05-01 00:00:00;2008-04;2.5;Y
2008-05-01 00:00:01;2008-06-01 00:00:00;2008-05;8.3;Y
2008-06-01 00:00:01;2008-07-01 00:00:00;2008-06;12.6;Y
2008-07-01 00:00:01;2008-08-01 00:00:00;2008-07;15.1;Y
2008-08-01 00:00:01;2008-09-01 00:00:00;2008-08;12.9;Y
2008-09-01 00:00:01;2008-10-01 00:00:00;2008-09;8.0;Y
2008-10-01 00:00:01;2008-11-01 00:00:00;2008-10;4.5;Y
2008-11-01 00:00:01;2008-12-01 00:00:00;2008-11;-1.4;Y
2008-12-01 00:00:01;2009-01-01 00:00:00;2008-12;-1.7;Y
2009-01-01 00:00:01;2009-02-01 00:00:00;2009-01;-5.4;Y
2009-02-01 00:00:01;2009-03-01 00:00:00;2009-02;-11.0;Y
2009-03-01 00:00:01;2009-04-01 00:00:00;2009-03;-2.9;Y
2009-04-01 00:00:01;2009-05-01 00:00:00;2009-04;2.1;Y
2009-05-01 00:00:01;2009-06-01 00:00:00;2009-05;9.6;Y
2009-06-01 00:00:01;2009-07-01 00:00:00;2009-06;12.4;Y
2009-07-01 00:00:01;2009-08-01 00:00:00;2009-07;14.6;Y
2009-08-01 00:00:01;2009-09-01 00:00:00;2009-08;14.9;Y
2009-09-01 00:00:01;2009-10-01 00:00:00;2009-09;11.0;Y
2009-10-01 00:00:01;2009-11-01 00:00:00;2009-10;1.3;Y
2009-11-01 00:00:01;2009-12-01 00:00:00;2009-11;1.7;Y
2009-12-01 00:00:01;2010-01-01 00:00:00;2009-12;-6.4;Y
2010-01-01 00:00:01;2010-02-01 00:00:00;2010-01;-10.5;Y
2010-02-01 00:00:01;2010-03-01 00:00:00;2010-02;-13.2;Y
2010-03-01 00:00:01;2010-04-01 00:00:00;2010-03;-4.7;Y
2010-04-01 00:00:01;2010-05-01 00:00:00;2010-04;2.5;Y
2010-05-01 00:00:01;2010-06-01 00:00:00;2010-05;9.7;Y
2010-06-01 00:00:01;2010-07-01 00:00:00;2010-06;12.0;Y
2010-07-01 00:00:01;2010-08-01 00:00:00;2010-07;17.1;Y
2010-08-01 00:00:01;2010-09-01 00:00:00;2010-08;14.0;Y
2010-09-01 00:00:01;2010-10-01 00:00:00;2010-09;9.2;Y
2010-10-01 00:00:01;2010-11-01 00:00:00;2010-10;3.9;Y
2010-11-01 00:00:01;2010-12-01 00:00:00;2010-11;-5.7;Y
2010-12-01 00:00:01;2011-01-01 00:00:00;2010-12;-12.0;Y
2011-01-01 00:00:01;2011-02-01 00:00:00;2011-01;-8.2;Y
2011-02-01 00:00:01;2011-03-01 00:00:00;2011-02;-12.2;Y
2011-03-01 00:00:01;2011-04-01 00:00:00;2011-03;-3.1;Y
2011-04-01 00:00:01;2011-05-01 00:00:00;2011-04;4.7;Y
2011-05-01 00:00:01;2011-06-01 00:00:00;2011-05;7.7;Y
2011-06-01 00:00:01;2011-07-01 00:00:00;2011-06;14.7;Y
2011-07-01 00:00:01;2011-08-01 00:00:00;2011-07;17.4;Y
2011-08-01 00:00:01;2011-09-01 00:00:00;2011-08;14.7;Y
2011-09-01 00:00:01;2011-10-01 00:00:00;2011-09;11.7;Y
2011-10-01 00:00:01;2011-11-01 00:00:00;2011-10;5.0;Y
2011-11-01 00:00:01;2011-12-01 00:00:00;2011-11;3.3;Y
2011-12-01 00:00:01;2012-01-01 00:00:00;2011-12;-0.8;Y
2012-01-01 00:00:01;2012-02-01 00:00:00;2012-01;-5.7;Y
2012-02-01 00:00:01;2012-03-01 00:00:00;2012-02;-8.5;Y
2012-03-01 00:00:01;2012-04-01 00:00:00;2012-03;0.4;Y
2012-04-01 00:00:01;2012-05-01 00:00:00;2012-04;0.6;Y
2012-05-01 00:00:01;2012-06-01 00:00:00;2012-05;7.3;Y
2012-06-01 00:00:01;2012-07-01 00:00:00;2012-06;11.9;Y
2012-07-01 00:00:01;2012-08-01 00:00:00;2012-07;15.6;Y
2012-08-01 00:00:01;2012-09-01 00:00:00;2012-08;13.8;Y
2012-09-01 00:00:01;2012-10-01 00:00:00;2012-09;9.0;Y
2012-10-01 00:00:01;2012-11-01 00:00:00;2012-10;3.5;Y
2012-11-01 00:00:01;2012-12-01 00:00:00;2012-11;1.2;Y
2012-12-01 00:00:01;2013-01-01 00:00:00;2012-12;-7.8;Y
2013-01-01 00:00:01;2013-02-01 00:00:00;2013-01;-8.8;Y
2013-02-01 00:00:01;2013-03-01 00:00:00;2013-02;-4.7;Y
2013-03-01 00:00:01;2013-04-01 00:00:00;2013-03;-7.2;Y
2013-04-01 00:00:01;2013-05-01 00:00:00;2013-04;1.1;Y
2013-05-01 00:00:01;2013-06-01 00:00:00;2013-05;11.2;Y
2013-06-01 00:00:01;2013-07-01 00:00:00;2013-06;14.7;Y
2013-07-01 00:00:01;2013-08-01 00:00:00;2013-07;15.6;Y
2013-08-01 00:00:01;2013-09-01 00:00:00;2013-08;14.8;Y
2013-09-01 00:00:01;2013-10-01 00:00:00;2013-09;11.7;Y
2013-10-01 00:00:01;2013-11-01 00:00:00;2013-10;4.3;Y
2013-11-01 00:00:01;2013-12-01 00:00:00;2013-11;-0.1;Y
2013-12-01 00:00:01;2014-01-01 00:00:00;2013-12;-0.7;Y
2014-01-01 00:00:01;2014-02-01 00:00:00;2014-01;-7.3;Y
2014-02-01 00:00:01;2014-03-01 00:00:00;2014-02;-0.4;Y
2014-03-01 00:00:01;2014-04-01 00:00:00;2014-03;1.1;Y
2014-04-01 00:00:01;2014-05-01 00:00:00;2014-04;3.5;Y
2014-05-01 00:00:01;2014-06-01 00:00:00;2014-05;7.3;Y
2014-06-01 00:00:01;2014-07-01 00:00:00;2014-06;11.9;Y
2014-07-01 00:00:01;2014-08-01 00:00:00;2014-07;19.3;Y
2014-08-01 00:00:01;2014-09-01 00:00:00;2014-08;15.5;Y
2014-09-01 00:00:01;2014-10-01 00:00:00;2014-09;10.2;Y
2014-10-01 00:00:01;2014-11-01 00:00:00;2014-10;4.3;Y
2014-11-01 00:00:01;2014-12-01 00:00:00;2014-11;-0.0;Y
2014-12-01 00:00:01;2015-01-01 00:00:00;2014-12;-3.4;Y
2015-01-01 00:00:01;2015-02-01 00:00:00;2015-01;-4.1;Y
2015-02-01 00:00:01;2015-03-01 00:00:00;2015-02;-1.2;Y
2015-03-01 00:00:01;2015-04-01 00:00:00;2015-03;0.5;Y
2015-04-01 00:00:01;2015-05-01 00:00:00;2015-04;4.0;Y
2015-05-01 00:00:01;2015-06-01 00:00:00;2015-05;7.2;Y
2015-06-01 00:00:01;2015-07-01 00:00:00;2015-06;11.6;Y
2015-07-01 00:00:01;2015-08-01 00:00:00;2015-07;14.4;Y
2015-08-01 00:00:01;2015-09-01 00:00:00;2015-08;15.2;Y
2015-09-01 00:00:01;2015-10-01 00:00:00;2015-09;11.0;Y
2015-10-01 00:00:01;2015-11-01 00:00:00;2015-10;4.0;Y
2015-11-01 00:00:01;2015-12-01 00:00:00;2015-11;1.6;Y
2015-12-01 00:00:01;2016-01-01 00:00:00;2015-12;-1.3;Y
2016-01-01 00:00:01;2016-02-01 00:00:00;2016-01;-10.8;Y
2016-02-01 00:00:01;2016-03-01 00:00:00;2016-02;-4.8;Y
2016-03-01 00:00:01;2016-04-01 00:00:00;2016-03;-0.6;Y
2016-04-01 00:00:01;2016-05-01 00:00:00;2016-04;2.6;Y
2016-05-01 00:00:01;2016-06-01 00:00:00;2016-05;9.4;Y
2016-06-01 00:00:01;2016-07-01 00:00:00;2016-06;13.0;Y
2016-07-01 00:00:01;2016-08-01 00:00:00;2016-07;16.8;Y
2016-08-01 00:00:01;2016-09-01 00:00:00;2016-08;13.4;Y
2016-09-01 00:00:01;2016-10-01 00:00:00;2016-09;10.9;Y
2016-10-01 00:00:01;2016-11-01 00:00:00;2016-10;3.6;Y
2016-11-01 00:00:01;2016-12-01 00:00:00;2016-11;-1.1;Y
2016-12-01 00:00:01;2017-01-01 00:00:00;2016-12;-3.0;Y
2017-01-01 00:00:01;2017-02-01 00:00:00;2017-01;-4.3;Y
2017-02-01 00:00:01;2017-03-01 00:00:00;2017-02;-5.0;Y
2017-03-01 00:00:01;2017-04-01 00:00:00;2017-03;-1.4;Y
2017-04-01 00:00:01;2017-05-01 00:00:00;2017-04;1.2;Y
2017-05-01 00:00:01;2017-06-01 00:00:00;2017-05;6.5;Y
2017-06-01 00:00:01;2017-07-01 00:00:00;2017-06;12.1;Y
2017-07-01 00:00:01;2017-08-01 00:00:00;2017-07;14.7;Y
2017-08-01 00:00:01;2017-09-01 00:00:00;2017-08;13.5;Y
2017-09-01 00:00:01;2017-10-01 00:00:00;2017-09;9.9;Y
2017-10-01 00:00:01;2017-11-01 00:00:00;2017-10;4.2;Y
2017-11-01 00:00:01;2017-12-01 00:00:00;2017-11;-0.8;Y
2017-12-01 00:00:01;2018-01-01 00:00:00;2017-12;-3.9;Y
2018-01-01 00:00:01;2018-02-01 00:00:00;2018-01;-5.7;Y
2018-02-01 00:00:01;2018-03-01 00:00:00;2018-02;-10.1;Y
2018-03-01 00:00:01;2018-04-01 00:00:00;2018-03;-6.0;Y
2018-04-01 00:00:01;2018-05-01 00:00:00;2018-04;2.3;Y
2018-05-01 00:00:01;2018-06-01 00:00:00;2018-05;11.1;Y
2018-06-01 00:00:01;2018-07-01 00:00:00;2018-06;12.9;Y
2018-07-01 00:00:01;2018-08-01 00:00:00;2018-07;19.9;Y
2018-08-01 00:00:01;2018-09-01 00:00:00;2018-08;15.3;Y
2018-09-01 00:00:01;2018-10-01 00:00:00;2018-09;10.3;Y
2018-10-01 00:00:01;2018-11-01 00:00:00;2018-10;3.7;Y
2018-11-01 00:00:01;2018-12-01 00:00:00;2018-11;0.7;Y
2018-12-01 00:00:01;2019-01-01 00:00:00;2018-12;-3.5;Y
2019-01-01 00:00:01;2019-02-01 00:00:00;2019-01;-10.2;Y
2019-02-01 00:00:01;2019-03-01 00:00:00;2019-02;-5.0;Y
2019-03-01 00:00:01;2019-04-01 00:00:00;2019-03;-2.2;Y
2019-04-01 00:00:01;2019-05-01 00:00:00;2019-04;4.1;Y
2019-05-01 00:00:01;2019-06-01 00:00:00;2019-05;7.8;Y
2019-06-01 00:00:01;2019-07-01 00:00:00;2019-06;13.7;Y
2019-07-01 00:00:01;2019-08-01 00:00:00;2019-07;15.3;Y
2019-08-01 00:00:01;2019-09-01 00:00:00;2019-08;14.6;Y
2019-09-01 00:00:01;2019-10-01 00:00:00;2019-09;8.8;Y
2019-10-01 00:00:01;2019-11-01 00:00:00;2019-10;2.5;Y
2019-11-01 00:00:01;2019-12-01 00:00:00;2019-11;-2.1;Y
2019-12-01 00:00:01;2020-01-01 00:00:00;2019-12;-2.0;Y
2020-01-01 00:00:01;2020-02-01 00:00:00;2020-01;-0.5;Y
2020-02-01 00:00:01;2020-03-01 00:00:00;2020-02;-2.8;Y
2020-03-01 00:00:01;2020-04-01 00:00:00;2020-03;-0.9;Y
2020-04-01 00:00:01;2020-05-01 00:00:00;2020-04;3.0;Y
2020-05-01 00:00:01;2020-06-01 00:00:00;2020-05;6.9;Y
2020-06-01 00:00:01;2020-07-01 00:00:00;2020-06;16.1;Y
2020-07-01 00:00:01;2020-08-01 00:00:00;2020-07;14.2;Y
2020-08-01 00:00:01;2020-09-01 00:00:00;2020-08;14.7;Y
2020-09-01 00:00:01;2020-10-01 00:00:00;2020-09;10.3;Y
2020-10-01 00:00:01;2020-11-01 00:00:00;2020-10;5.6;Y
2020-11-01 00:00:01;2020-12-01 00:00:00;2020-11;2.7;Y
2020-12-01 00:00:01;2021-01-01 00:00:00;2020-12;0.5;Y
2021-01-01 00:00:01;2021-02-01 00:00:00;2021-01;-9.2;Y
2021-02-01 00:00:01;2021-03-01 00:00:00;2021-02;-8.5;Y
2021-03-01 00:00:01;2021-04-01 00:00:00;2021-03;-0.8;Y
